25614	A group of former General Motors workers furtively produced 1957 Chevrolet automobiles on their own for ten years.	Were 1957 Chevies Secretly Produced Until 1967?
25615	The Chevy Volt costs more than 7 times as much to run and takes 3 times as long to drive across country than a standard automobile.	Cost to Operate the Chevy Volt
41975	A still and an animated GIF show climate activist Greta Thunberg's facial expression when United States President Donald Trump arrives at a summit.	Did Greta Thunberg Make a Face When She Saw Donald Trump? – Truth...
41976	In 2009's H1N1 (swine flu) pandemic, 1.4 billion people were sickened globally, and nearly 600,000 died.	Did H1N1 Infect 1.4 Billion People and Kill Nearly 600,000...
41977	Hillary Clinton admitted she had an urge to run again in January 2020.	Did Hillary Clinton Say She Had an ‘Urge to Run Again’ in January...
41978	Congressional Democrats voted against giving government workers shutdown backpay on January 17 2019.	Did House Democrats Vote Against Shutdown Back Pay in January...
41979	Immigration and Customs Enforcement (ICE) detained a teenaged American citizen at a camp for nearly a month, despite receiving proof of his citizenship.	Did ICE Detain an American Citizen Despite His Proof of...
41980	Snow fell over parts of Canada in early June 2019.	Did It Snow in Québec in June 2019? – Truth or Fiction?
41981	Ivanka Trump said Dr. Fauci was trying to make her father look incompetent.	Did Ivanka Trump Accuse Dr. Anthony Fauci of Trying to Make Her...
41982	Ivanka Trump quoted Thomas Jefferson to her father, United States President Donald Trump, but she chose a quote where Jefferson specifically denied something of which he was actually guilty.	Did Ivanka Trump Quote Thomas Jefferson’s Denial of ‘Something He...
41983	Author J.K. Rowling confirmed that she is a trans-exclusionary feminist.	Did J.K. Rowling ‘Confirm Her Stance Against Transgender Women’? –...
41984	Beauty YouTuber James Charles sent a DM calling another user the n-word.	Did James Charles Use a Racial Slur in Twitter DMs? – Truth or...
41985	Amazon founder Jeff Bezos was building another mansion with elevators and 25 bathrooms at the same time part-time Whole Foods employees lost health benefits.	Did Jeff Bezos Cut Whole Foods Workers Benefits as He Bought a...
41986	In response to a no one should live in a closet tattoo tweet, JK Rowling responded, Yes they should.	Did JK Rowling Respond to ‘No One Should Live in a Closet’ Tattoo...
44753	The UK oil and gas industry supports an estimated 375,000 jobs.	How many jobs are supported by the UK's oil and gas industry?
44754	The oil and gas industry supports more than 400,000 jobs.	How many jobs are supported by the UK's oil and gas industry?
44755	Closing the Renewables Obligation to onshore wind a year early could threaten 19,000 jobs supported by the industry.	How many jobs could be lost in onshore wind?
44756	Nurses have been using food banks.	How many nurses are using foodbanks?
44757	The number of people using food banks since 2010 has gone from the tens of thousands to the millions.	How many people use food banks?
44758	The Taylor Review found that 58% of people working on zero hour contracts did not want more hours.	How many people on zero hours contracts want more hours?
44759	50,000 retail jobs were axed in the first half of this year.	How many retail jobs have been lost this year?
44760	An estimated 2m young people in their 20s and 30s can't find the money needed to move out of their parent's home.	How many young people could benefit from Help-to-Rent?
44761	Some charities are spending less than half of the money raised by members of the public on good works.	How much are charities spending on good works?
53698	A photo shared on Instagram purports Brazil’s outgoing president, Jair Bolsonaro, annulled the election results after losing to president-elect Luiz Inácio Lula da Silva.	Did Brazil’s Outgoing President Jair Bolsonaro Annul The Election Results After His Loss?
53699	An image shared on Twitter claims to show an Israeli newspaper’s depiction of former President Barack Obama.	Does This Image Show An Israeli Newspaper’s Depiction Of Barack Obama?
53700	A video shared on Facebook purports Arkansas Republican Sen. Tom Cotton humiliated Attorney General Merrick Garland and called him dumb.	Did Tom Cotton ‘Humiliate’ Merrick Garland And Call Him ‘Dumb’?
53701	A video shared on Facebook claims to show Russian MiG-35 fighters being destroyed in Ukraine.	Video Claims To Show Russian Fighters Being Destroyed In Ukraine
53702	A video shared on Facebook claims to show a destroyed Russian nuclear aircraft carrier. Verdict: False	Does This Video Show A Destroyed Russian Nuclear Aircraft Carrier?
53703	A post shared on Facebook purports Walmart CEO Doug McMillon announced Walmart would be forced to close if theft rates continue.	Is Walmart At Risk Of Closing Due To A Rise In Retail Thefts?
53704	A video shared on Facebook purports Iowa Republican Sen. Chuck Grassley demanded President Joe Biden resign from office.	Did Chuck Grassley Demand Joe Biden’s Resignation?
53705	A photo shared on Facebook purports sports journalist Grant Wahl died of an aortic aneurysm caused by the COVID-19 vaccine.	Did The COVID-19 Vaccine Cause A Sports Reporter To Die From An Aortic Aneurysm?
53706	A video shared on Facebook purports the Federal Reserve suspended the availability of new currency.	Is The Federal Reserve Suspending The Availability Of New Currency?
53707	A post shared on Facebook purports the U.S. military arrested President Joe Biden’s former COVID-19 Response Coordinator Jeff Zients for treason and murder.	Did The U.S. Military Arrest Jeff Zients For Treason And Murder?
53708	An image shared on Facebook purports The Guardian claimed audio of Twitter CEO Elon Musk ranting about a subversive elite plot leaked online.	Did The Guardian Report On Leaked Audio Of Elon Musk?
54760	Marburg virus disease unrelated to Covid-19, Covid-19 vaccines or any new ‘pandemic’	Marburg virus disease unrelated to Covid-19, Covid-19 vaccines or any new ‘pandemic’
54761	Marijuana decriminalised in South Africa – but can’t be bought from pharmacies	Marijuana decriminalised in South Africa – but can’t be bought from pharmacies
54762	Masanin ƙwayoyin cuta Montagnier bai ce ‘ duk waɗanda aka yiwa allurar rigakafi zasu mutu cikin shekaru biyu’	Masanin ƙwayoyin cuta Montagnier bai ce ‘ duk waɗanda aka yiwa allurar rigakafi zasu mutu cikin shekaru biyu’
54763	‘Mass exodus from Ruto’? Star newspaper headline fake	‘Mass exodus from Ruto’? Star newspaper headline fake
54764	Mass recruitment at Uganda Red Cross? It’s a scam	Mass recruitment at Uganda Red Cross? It’s a scam
54765	Massive crowd of Kenyan deputy president Ruto’s ‘chronic supporters’ in Meru? No, photo from Vietnam	Massive crowd of Kenyan deputy president Ruto’s ‘chronic supporters’ in Meru? No, photo from Vietnam
54766	‘Masu biyayya, ‘mayunwatan rayuka marasa aikin yi’? Babu hujjar da ta tabbatar ɗan siyasa mai adawa Okowa yayi tofin Alatsine ga magoya bayan ɗan takarar shugaban ƙasar Najeriya Obi	‘Masu biyayya, ‘mayunwatan rayuka marasa aikin yi’? Babu hujjar da ta tabbatar ɗan siyasa mai adawa Okowa yayi tofin Alatsine ga magoya bayan ɗan takarar shugaban ƙasar Najeriya Obi
54767	Masu fafutukar Biafra sun kori Fulani a jihar Ebonyin Najeriya? Ba haka bane bidiyon da ya nuna makiyayan na tafiya sun tafi ne bisa ra'ayin kansu	Masu fafutukar Biafra sun kori Fulani a jihar Ebonyin Najeriya? Ba haka bane bidiyon da ya nuna makiyayan na tafiya sun tafi ne bisa ra'ayin kansu
54768	Melinda Gates said she feared coronavirus in Africa would lead to dead being put out in street, as in Ecuador	Melinda Gates said she feared coronavirus in Africa would lead to dead being put out in street, as in Ecuador
54769	Melon and maize mixture no remedy for irregular periods and other reproductive conditions	Melon and maize mixture no remedy for irregular periods and other reproductive conditions
54770	Meme on two young women’s scientific discoveries gets the facts wrong	Meme on two young women’s scientific discoveries gets the facts wrong
54771	Men arrested with human bones in Nigeria, not Kenya	Men arrested with human bones in Nigeria, not Kenya
54772	Men convicted of rape will be castrated in one Nigerian state under new law	Men convicted of rape will be castrated in one Nigerian state under new law
54773	Mexican politician stripped naked to protest energy bill, and words not by him	Mexican politician stripped naked to protest energy bill, and words not by him
59534	CBC reported Canadian militia group orchestrated Dutch farmer protests	Image does not show CBC story on Dutch farmer's protests
59535	Bomb explosion at Shwedagon	False posts about 'bomb blast at Myanmar Buddhist site' misuse old images
59536	This photo shows litter left after climate march in Rotterdam, Netherlands	This photo was taken near a concert venue in Amsterdam, not after a climate march in Rotterdam
59537	Latest survey shows Malaysia is the most corrupt country in the world	Old Wall Street Journal report about corruption in Malaysia recirculates online
59538	Photo shows a South Korean politician embracing former Japanese Prime Minister Shinzo Abe	Doctored image merges unrelated photos of South Korean politician and former Japanese PM Abe
59539	A photo of a deadly accident at a wedding in China	Photo shows wedding tent that collapsed in Indonesia, not 'deadly wedding accident in China'
59540	Nigeria Osun state has five mining licences operated by the Chinese	Governor candidates in Nigeria's Osun state make false claims in debates
59541	Video shows people swept away by hightides in India	Video shows tragic beach accident in Oman, not India
59542	A 1922 report disproves human-caused global warming	Century-old Arctic report altered to discredit global warming
59543	Video shows microburst over Karachi in July 2022	Video shows storm over the US in 2018, not Pakistan in 2022
59544	Photos show the under-construction Kalna Bridge in Bangladesh	Photos show bridge between Crimea and Russia, not 'construction project in Bangladesh'
59545	Clip shows Maldivians verbally abusing former President Gotabaya Rajapaksa	Altered video of ex-Sri Lankan president in 2017 circulates in posts about him fleeing to Maldives
59546	Video of Chinese soldiers taking action against Indonesian police and military	Video shows altercation between Indonesian authorities and local residents -- not Chinese soldiers
59547	Burmese cardiologist Kyaw Thu Maung recommends Cardiovax for hypertension	Photo of journalist misrepresented as 'cardiologist promoting herbal supplement in Myanmar'
59548	Conditions to become a Malaysian citizen including being Malay and Muslim	Legal experts rubbish 'ignorant' social media posts about 'conditions for Malaysian citizenship'
59549	Video shows Vatican City on fire in July 2022	This video shows a fire in Rome, not the Vatican City
59550	Video shows Indian journalist's vehicle swept away in Telangana	Pakistan flooding footage recirculates in false reports it shows 'journalist drowned' in India
59551	Lions roaming through Gir national park after monsoon rains	This clip has circulated in posts about lions at a South African game reserve
65089	15 cases of coronavirus have been linked to Metrotown mall in BC	WhatsApp message falsely links BC mall to COVID-19 outbreak
65090	WHO ranked Sri Lanka the world's second best military force for emergency deployments	The WHO did not rank Sri Lanka the world's second best military for emergency deployments
65091	WHO said Bill Gates adds sterilisation formula to vaccines	WHO did not say Bill Gates adds sterilisation formula to vaccines
65092	World Health Organization warns against eating cabbage during COVID-19 pandemic	WHO did not warn against eating cabbage during the COVID-19 pandemic
65093	WHO offers home-based jobs during pandemic	WHO dismisses fake COVID-19 job ads, warns of similar scams
65094	WHO DG Tedros Ghebreyesus tests positive for Covid-19	WHO head did not say he tested positive for Covid-19, only that he was quarantining after a contact tested positive
65095	WHO says coronavirus patients don't need to be isolated or quarantined	WHO still recommends self-isolation and social distancing to prevent COVID-19 transmission
65096	Aspirin, lemon juice and honey mixture as home remedy for COVID-19	WHO warns against self-medicating for COVID-19 with aspirin, lemon juice and honey 'remedy'
65097	90 percent of plastic in the world's oceans comes from ten rivers	Widely-cited study did not show 95% of plastic in oceans comes from just 10 rivers
65098	The most dangerous cities in the world	This widely-shared ranking of the ‘world’s most dangerous cities’ is based solely on a survey of how safe people feel
65099	Photo of mother deer sacrificing herself to save her babies	A wildlife photographer’s frustration at the false story circulating alongside her award-winning picture
65100	Wisconsin clerks may have illegally filled in witness address on ballots	Wisconsin poll clerks did not illegally add witness addresses to mail-in ballots
